index,bits,hamming_weight,integrity_valid,coset_id,coset_representative,nearest_code_distance,nearest_codeword_count,decoder_status
136,010001000,2,1,17,000100001,2,4,uncorrectable
137,010001001,3,0,16,000100000,1,1,corrected
138,010001010,3,0,19,000100011,3,4,uncorrectable
139,010001011,4,1,18,000100010,2,1,uncorrectable
140,010001100,3,0,21,000100101,1,1,corrected
141,010001101,4,1,20,000100100,2,4,uncorrectable
142,010001110,4,1,23,000100111,2,1,uncorrectable
143,010001111,5,0,22,000100110,3,4,uncorrectable
144,010010000,2,1,20,000100100,2,4,uncorrectable
145,010010001,3,0,21,000100101,1,1,corrected
146,010010010,3,0,22,000100110,3,4,uncorrectable
147,010010011,4,1,23,000100111,2,1,uncorrectable
148,010010100,3,0,16,000100000,1,1,corrected
149,010010101,4,1,17,000100001,2,4,uncorrectable
150,010010110,4,1,18,000100010,2,1,uncorrectable
151,010010111,5,0,19,000100011,3,4,uncorrectable
152,010011000,3,0,28,000101100,1,1,corrected
153,010011001,4,1,29,000101101,2,4,uncorrectable
154,010011010,4,1,30,000101110,2,1,uncorrectable
155,010011011,5,0,31,000101111,3,4,uncorrectable
156,010011100,4,1,24,000101000,2,4,uncorrectable
157,010011101,5,0,25,000101001,1,1,corrected
158,010011110,5,0,26,000101010,3,4,uncorrectable
159,010011111,6,1,27,000101011,2,1,uncorrectable
160,010100000,2,1,9,000001001,2,4,uncorrectable
161,010100001,3,0,8,000001000,1,1,corrected
162,010100010,3,0,11,000001011,3,4,uncorrectable
163,010100011,4,1,10,000001010,2,1,uncorrectable
164,010100100,3,0,13,000001101,1,1,corrected
165,010100101,4,1,12,000001100,2,4,uncorrectable
166,010100110,4,1,15,000001111,2,1,uncorrectable
167,010100111,5,0,14,000001110,3,4,uncorrectable
168,010101000,3,0,1,000000001,1,1,corrected
169,010101001,4,1,0,000000000,0,1,exact
170,010101010,4,1,3,000000011,2,1,uncorrectable
171,010101011,5,0,2,000000010,1,1,corrected
172,010101100,4,1,5,000000101,2,4,uncorrectable
173,010101101,5,0,4,000000100,1,1,corrected
174,010101110,5,0,7,000000111,3,4,uncorrectable
175,010101111,6,1,6,000000110,2,1,uncorrectable
176,010110000,3,0,4,000000100,1,1,corrected
177,010110001,4,1,5,000000101,2,4,uncorrectable
178,010110010,4,1,6,000000110,2,1,uncorrectable
179,010110011,5,0,7,000000111,3,4,uncorrectable
180,010110100,4,1,0,000000000,0,1,exact
181,010110101,5,0,1,000000001,1,1,corrected
182,010110110,5,0,2,000000010,1,1,corrected
183,010110111,6,1,3,000000011,2,1,uncorrectable
184,010111000,4,1,12,000001100,2,4,uncorrectable
185,010111001,5,0,13,000001101,1,1,corrected
186,010111010,5,0,14,000001110,3,4,uncorrectable
187,010111011,6,1,15,000001111,2,1,uncorrectable
188,010111100,5,0,8,000001000,1,1,corrected
189,010111101,6,1,9,000001001,2,4,uncorrectable
190,010111110,6,1,10,000001010,2,1,uncorrectable
191,010111111,7,0,11,000001011,3,4,uncorrectable
192,011000000,2,1,12,000001100,2,4,uncorrectable
193,011000001,3,0,13,000001101,1,1,corrected
194,011000010,3,0,14,000001110,3,4,uncorrectable
195,011000011,4,1,15,000001111,2,1,uncorrectable
196,011000100,3,0,8,000001000,1,1,corrected
197,011000101,4,1,9,000001001,2,4,uncorrectable
198,011000110,4,1,10,000001010,2,1,uncorrectable
199,011000111,5,0,11,000001011,3,4,uncorrectable
200,011001000,3,0,4,000000100,1,1,corrected
201,011001001,4,1,5,000000101,2,4,uncorrectable
202,011001010,4,1,6,000000110,2,1,uncorrectable
203,011001011,5,0,7,000000111,3,4,uncorrectable
204,011001100,4,1,0,000000000,0,1,exact
205,011001101,5,0,1,000000001,1,1,corrected
206,011001110,5,0,2,000000010,1,1,corrected
207,011001111,6,1,3,000000011,2,1,uncorrectable
208,011010000,3,0,1,000000001,1,1,corrected
209,011010001,4,1,0,000000000,0,1,exact
210,011010010,4,1,3,000000011,2,1,uncorrectable
211,011010011,5,0,2,000000010,1,1,corrected
212,011010100,4,1,5,000000101,2,4,uncorrectable
213,011010101,5,0,4,000000100,1,1,corrected
214,011010110,5,0,7,000000111,3,4,uncorrectable
215,011010111,6,1,6,000000110,2,1,uncorrectable
216,011011000,4,1,9,000001001,2,4,uncorrectable
217,011011001,5,0,8,000001000,1,1,corrected
218,011011010,5,0,11,000001011,3,4,uncorrectable
219,011011011,6,1,10,000001010,2,1,uncorrectable
220,011011100,5,0,13,000001101,1,1,corrected
221,011011101,6,1,12,000001100,2,4,uncorrectable
222,011011110,6,1,15,000001111,2,1,uncorrectable
223,011011111,7,0,14,000001110,3,4,uncorrectable
224,011100000,3,0,28,000101100,1,1,corrected
225,011100001,4,1,29,000101101,2,4,uncorrectable
226,011100010,4,1,30,000101110,2,1,uncorrectable
227,011100011,5,0,31,000101111,3,4,uncorrectable
228,011100100,4,1,24,000101000,2,4,uncorrectable
229,011100101,5,0,25,000101001,1,1,corrected
230,011100110,5,0,26,000101010,3,4,uncorrectable
231,011100111,6,1,27,000101011,2,1,uncorrectable
232,011101000,4,1,20,000100100,2,4,uncorrectable
233,011101001,5,0,21,000100101,1,1,corrected
234,011101010,5,0,22,000100110,3,4,uncorrectable
235,011101011,6,1,23,000100111,2,1,uncorrectable
236,011101100,5,0,16,000100000,1,1,corrected
237,011101101,6,1,17,000100001,2,4,uncorrectable
238,011101110,6,1,18,000100010,2,1,uncorrectable
239,011101111,7,0,19,000100011,3,4,uncorrectable
240,011110000,4,1,17,000100001,2,4,uncorrectable
241,011110001,5,0,16,000100000,1,1,corrected
242,011110010,5,0,19,000100011,3,4,uncorrectable
243,011110011,6,1,18,000100010,2,1,uncorrectable
244,011110100,5,0,21,000100101,1,1,corrected
245,011110101,6,1,20,000100100,2,4,uncorrectable
246,011110110,6,1,23,000100111,2,1,uncorrectable
247,011110111,7,0,22,000100110,3,4,uncorrectable
248,011111000,5,0,25,000101001,1,1,corrected
249,011111001,6,1,24,000101000,2,4,uncorrectable
250,011111010,6,1,27,000101011,2,1,uncorrectable
251,011111011,7,0,26,000101010,3,4,uncorrectable
252,011111100,6,1,29,000101101,2,4,uncorrectable
253,011111101,7,0,28,000101100,1,1,corrected
254,011111110,7,0,31,000101111,3,4,uncorrectable
255,011111111,8,1,30,000101110,2,1,uncorrectable
256,100000000,1,0,28,000101100,1,1,corrected
257,100000001,2,1,29,000101101,2,4,uncorrectable
258,100000010,2,1,30,000101110,2,1,uncorrectable
259,100000011,3,0,31,000101111,3,4,uncorrectable
260,100000100,2,1,24,000101000,2,4,uncorrectable
261,100000101,3,0,25,000101001,1,1,corrected
262,100000110,3,0,26,000101010,3,4,uncorrectable
263,100000111,4,1,27,000101011,2,1,uncorrectable
264,100001000,2,1,20,000100100,2,4,uncorrectable
265,100001001,3,0,21,000100101,1,1,corrected
266,100001010,3,0,22,000100110,3,4,uncorrectable
267,100001011,4,1,23,000100111,2,1,uncorrectable
268,100001100,3,0,16,000100000,1,1,corrected
269,100001101,4,1,17,000100001,2,4,uncorrectable
270,100001110,4,1,18,000100010,2,1,uncorrectable
271,100001111,5,0,19,000100011,3,4,uncorrectable
272,100010000,2,1,17,000100001,2,4,uncorrectable
273,100010001,3,0,16,000100000,1,1,corrected
274,100010010,3,0,19,000100011,3,4,uncorrectable
275,100010011,4,1,18,000100010,2,1,uncorrectable
276,100010100,3,0,21,000100101,1,1,corrected
277,100010101,4,1,20,000100100,2,4,uncorrectable
278,100010110,4,1,23,000100111,2,1,uncorrectable
279,100010111,5,0,22,000100110,3,4,uncorrectable
280,100011000,3,0,25,000101001,1,1,corrected
281,100011001,4,1,24,000101000,2,4,uncorrectable
282,100011010,4,1,27,000101011,2,1,uncorrectable
283,100011011,5,0,26,000101010,3,4,uncorrectable
284,100011100,4,1,29,000101101,2,4,uncorrectable
285,100011101,5,0,28,000101100,1,1,corrected
286,100011110,5,0,31,000101111,3,4,uncorrectable
287,100011111,6,1,30,000101110,2,1,uncorrectable
288,100100000,2,1,12,000001100,2,4,uncorrectable
289,100100001,3,0,13,000001101,1,1,corrected
290,100100010,3,0,14,000001110,3,4,uncorrectable
291,100100011,4,1,15,000001111,2,1,uncorrectable
292,100100100,3,0,8,000001000,1,1,corrected
293,100100101,4,1,9,000001001,2,4,uncorrectable
294,100100110,4,1,10,000001010,2,1,uncorrectable
295,100100111,5,0,11,000001011,3,4,uncorrectable
296,100101000,3,0,4,000000100,1,1,corrected
297,100101001,4,1,5,000000101,2,4,uncorrectable
298,100101010,4,1,6,000000110,2,1,uncorrectable
299,100101011,5,0,7,000000111,3,4,uncorrectable
300,100101100,4,1,0,000000000,0,1,exact
301,100101101,5,0,1,000000001,1,1,corrected
302,100101110,5,0,2,000000010,1,1,corrected
303,100101111,6,1,3,000000011,2,1,uncorrectable
304,100110000,3,0,1,000000001,1,1,corrected
305,100110001,4,1,0,000000000,0,1,exact
