branch_id,parent_id,shell_q,score,local_probability,measure,amplitude_real,amplitude_imag,amplitude_norm_squared
root.q4.q2.q4,root.q4.q2,4,0.6314480172999358,0.210615991916074,0.006563088193723083,0.08045752947606294,0.009469643305402132,0.0065630881937230835
root.q4.q3.q0,root.q4.q3,0,0.36,0.260317378312205,0.004387638900333462,0.06612006008615269,0.00397197111482698,0.004387638900333462
root.q4.q3.q1,root.q4.q3,1,0.5880910698150733,0.20722610722848347,0.0034927876699415035,0.05889893326256808,0.004868606625417137,0.003492787669941504
root.q4.q3.q2,root.q4.q3,2,1.0095815704905393,0.13595446342481105,0.0022915069914435137,0.047632135627221725,0.004763050181707969,0.0022915069914435137
root.q4.q3.q3,root.q4.q3,3,0.3741166179844383,0.25666839358650123,0.004326135410120762,0.06536644332933393,0.0073050322787607735,0.004326135410120761
root.q4.q3.q4,root.q4.q3,4,0.9814480172999359,0.13983365744799922,0.002356890650069902,0.04821501316150176,0.005674782454518796,0.002356890650069902
root.q4.q4.q0,root.q4.q4,0,0.71,0.20782894051865278,0.006661026586306498,0.08146824935164554,0.004893969134006068,0.006661026586306498
root.q4.q4.q1,root.q4.q4,1,0.9380910698150733,0.1654425939302771,0.005302521939085664,0.07257091078454324,0.005998737116054484,0.0053025219390856635
root.q4.q4.q2,root.q4.q4,2,0.3095815704905394,0.31017410519967176,0.009941242812299331,0.09921099410329781,0.009920759110810912,0.00994124281229933
root.q4.q4.q3,root.q4.q4,3,0.7241166179844383,0.20491570962170425,0.006567656007559396,0.08053969850368667,0.0090007206652938,0.006567656007559395
root.q4.q4.q4,root.q4.q4,4,1.3314480172999357,0.11163865072969413,0.0035780773299141986,0.05940697436777925,0.006992047366845958,0.0035780773299141986
