omega_ash,alpha_mu,loglike,chi2,aic,bic
0.012,0.08,116.25382120776666,1.2004226914520983,-216.50764241553333,-198.4062033992028
0.02,0.05,116.252575921376,1.2029132642333884,-216.505151842752,-198.4037128264215
0.017,0.09,116.24992358128995,1.2082179444055077,-216.4998471625799,-198.39840814624938
0.028,0.06,116.24906774632686,1.209929614331741,-216.49813549265372,-198.3966964763232
0.023,0.05,116.24177491306614,1.2245152808531365,-216.48354982613228,-198.38211080980176
0.012,0.065,116.23460982193893,1.2388454631075758,-216.46921964387786,-198.36778062754735
0.028,0.075,116.23038567544461,1.2472937560962098,-216.46077135088922,-198.3593323345587
0.021,0.09,116.22976002847057,1.2485450500443025,-216.45952005694113,-198.3580810406106
0.025,0.085,116.22554181387775,1.2569814792299359,-216.4510836277555,-198.349644611425
0.015,0.055,116.22412842652378,1.2598082539378939,-216.44825685304755,-198.34681783671704
0.019,0.05,116.22239646964715,1.263272167691148,-216.4447929392943,-198.3433539229638
0.013000000000000001,0.085,116.2216193997445,1.2648263074964263,-216.443238799489,-198.34179978315848
0.027,0.055,116.21567750026867,1.2767101064480892,-216.43135500053734,-198.32991598420682
0.013000000000000001,0.06,116.21559109458212,1.2768829178211591,-216.43118218916425,-198.32974317283373
0.027,0.08,116.21315118540423,1.2817627361769839,-216.42630237080846,-198.32486335447794
0.016,0.09,116.21281248052733,1.282440145930741,-216.42562496105467,-198.32418594472415
0.024,0.05,116.20431675078561,1.299431605414199,-216.40863350157122,-198.3071944852407
0.011,0.075,116.18449870968678,1.3390676876118466,-216.36899741937356,-198.26755840304304
0.022,0.09,116.18245037020964,1.3431643665661483,-216.36490074041927,-198.26346172408876
0.029,0.065,116.17893802175618,1.3501890634730684,-216.35787604351236,-198.25643702718185
0.018000000000000002,0.05,116.17536605445068,1.3573329980840931,-216.35073210890135,-198.24929309257084
0.011,0.07,116.17278341959127,1.3624982678028839,-216.34556683918254,-198.24412782285202
0.029,0.07,116.16710325569096,1.373858595603504,-216.33420651138192,-198.2327674950514
0.015,0.09,116.15888717282175,1.390290761341957,-216.3177743456435,-198.21633532931298
